ccode	abbrev	year	origin	abborigin	allons3	allinc3	peaceall	mons3	terrinc3	govinc3	ncivwar	ncivwar2	nterr	confbord	neighall	neighterr	neighgov	neighpol	neighpolsq	neighlgdp	neigheth	pop_nc	pol_nc	polsq_nc	gdp_nc	lnbd_nc	lbd_cum	lbd_best	lneighbref	dist	lndist	_blength	lnblength	ethfrac	ethfracsq	ethlink	ethlink2	lnpop	polity2l	polity2sq	postcoldw	lgdp96l
2	USA	1950	NA	NA	0	0	4	0	0	0	0	0	0	0	0.00581493	0.00569431	0.000156325	1.92997	3.72478	8.55395	0.527171	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	11.9354	10	100	0	9.27824
2	USA	1951	NA	NA	0	0	5	0	0	0	0	0	0	0	0.000198821	8.75163e-05	0.000147005	1.92989	3.72447	8.55389	0.527151	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	11.9549	10	100	0	9.27824
2	USA	1952	NA	NA	0	0	6	0	0	0	0	0	0	0	0.000202168	8.75123e-05	0.000150354	1.92961	3.72338	8.58615	0.527128	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	11.9741	10	100	0	9.31936
2	USA	1953	NA	NA	0	0	7	0	0	0	0	0	0	0	0.0045885	8.75062e-05	0.00453669	1.91692	3.67458	8.61102	0.527123	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	11.9866	10	100	0	9.33076
2	USA	1954	NA	NA	0	0	8	0	0	0	0	0	0	0	0.000353056	8.74936e-05	0.000301253	1.91334	3.66086	8.60534	0.527067	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.0052	10	100	0	9.3586
2	USA	1955	NA	NA	0	0	9	0	0	0	0	0	0	0	0.000180075	0.00012145	9.43106e-05	1.89985	3.60944	8.61898	0.527001	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.0235	10	100	0	9.33163
2	USA	1956	NA	NA	0	0	10	0	0	0	0	0	0	0	0.00020637	0.00020637	3.56786e-05	1.8871	3.56116	8.67305	0.526986	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.0414	10	100	0	9.38968
2	USA	1957	NA	NA	0	0	11	0	0	0	0	0	0	0	0.0045949	0.000162229	0.00446834	1.88871	3.56723	8.72132	0.527001	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.059	10	100	0	9.39206
2	USA	1958	NA	NA	0	0	12	0	0	0	0	0	0	0	0.00475857	0.000162218	0.00463203	1.88889	3.5679	8.73353	0.527016	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.0763	10	100	0	9.38783
2	USA	1959	NA	NA	0	0	13	0	0	0	0	0	0	0	0.000353706	0.000206348	0.000183033	1.88781	3.56382	8.73674	0.527032	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.0876	10	100	0	9.35865
2	USA	1960	NA	NA	0	0	14	0	0	0	0	0	0	0	0.000348443	0.000168013	0.00021607	1.9225	3.69599	8.73716	0.527156	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1044	10	100	0	9.40661
2	USA	1961	NA	NA	0	0	15	0	0	0	0	0	0	0	0.00487049	0.000258006	0.00464812	1.90425	3.62618	8.75865	0.527157	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.121	10	100	0	9.41514
2	USA	1962	NA	NA	0	0	16	0	0	0	0	0	0	0	0.000610573	0.000300532	0.000345638	1.89615	3.59539	8.7579	0.526824	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1364	10	100	0	9.41891
2	USA	1963	NA	NA	0	0	17	0	0	0	0	0	0	0	0.000469592	0.000332412	0.000221987	1.89694	3.59839	8.78751	0.526816	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1508	10	100	0	9.46461
2	USA	1964	NA	NA	0	0	18	0	0	0	0	0	0	0	0.000508399	0.000332364	0.000211623	1.89578	3.59398	8.83151	0.526798	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1647	10	100	0	9.49625
2	USA	1965	NA	NA	0	0	19	0	0	0	0	0	0	0	0.00113243	0.000328431	0.000839582	1.89459	3.58946	8.90152	0.526813	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1772	10	100	0	9.54178
2	USA	1966	NA	NA	0	0	20	0	0	0	0	0	0	0	0.00105881	0.00038507	0.000709307	1.89345	3.58514	8.9364	0.52673	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1887	10	100	0	9.59462
2	USA	1967	NA	NA	0	0	21	0	0	0	0	0	0	0	0.000989897	0.000408365	0.000657795	1.89196	3.57951	8.97219	0.526715	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.1996	10	100	0	9.64192
2	USA	1968	NA	NA	0	0	22	0	0	0	0	0	0	0	0.000864492	0.000408315	0.000532431	1.89026	3.57307	8.98471	0.526685	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.2096	10	100	0	9.65078
2	USA	1969	NA	NA	0	0	23	0	0	0	0	0	0	0	0.000816336	0.000319471	0.000532431	1.88962	3.57067	9.02864	0.526685	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.2194	10	100	0	9.6891
2	USA	1970	NA	NA	0	0	24	0	0	0	0	0	0	0	0.000921447	0.000355027	0.000601984	1.88858	3.56674	9.05471	0.526692	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.231	10	100	0	9.71264
2	USA	1971	NA	NA	0	0	25	0	0	0	0	0	0	0	0.00102075	0.000376685	0.000726147	1.88537	3.55463	9.07262	0.526636	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.2437	10	100	0	9.70207
2	USA	1972	NA	NA	0	0	26	0	0	0	0	0	0	0	0.00112828	0.000333598	0.000865797	1.88364	3.54809	9.09324	0.526616	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.35695	0.127413	NA	NA	12.2544	10	100	0	9.73069
