"codmpio","year","peace1.m","peace2.m","peace1.l","peace2.l","peace1.u","peace2.u","municipio","provincia"
"11001","1993",-0.147151,-0.198162,-1.3544915,-1.8719185,0.859872675,1.389017,"Bogotá, D.C.","Bogotá"
"11001","1994",-0.3456775,-0.3149545,-1.887173,-2.1220355,1.12121375,1.46648125,"Bogotá, D.C.","Bogotá"
"11001","1995",-0.5206575,-0.371963,-2.45998175,-2.412361,1.29670275,1.37963075,"Bogotá, D.C.","Bogotá"
"11001","1996",-0.7218415,-0.4159095,-2.88883475,-2.62496,1.29387825,1.43754625,"Bogotá, D.C.","Bogotá"
"11001","1997",-0.821904,-0.5061045,-3.115283,-2.8584805,1.27373725,1.4849725,"Bogotá, D.C.","Bogotá"
"11001","1998",-0.989926,-0.5133375,-3.3221765,-2.85523825,1.2162865,1.48462375,"Bogotá, D.C.","Bogotá"
"11001","1999",-1.073985,-0.605644,-3.622597,-3.178855,1.15776999999999,1.57608475,"Bogotá, D.C.","Bogotá"
"11001","2000",-1.200365,-0.648595,-3.88742925,-3.21388175,1.0699715,1.647659,"Bogotá, D.C.","Bogotá"
"11001","2001",-1.268265,-0.6902845,-4.11179475,-3.38037025,1.1239555,1.53906825,"Bogotá, D.C.","Bogotá"
"11001","2002",-1.37872,-0.7130545,-4.3092485,-3.5001535,1.015035,1.66416725,"Bogotá, D.C.","Bogotá"
"11001","2003",-1.485105,-0.740199,-4.3957115,-3.63329825,1.05824175,1.81471975,"Bogotá, D.C.","Bogotá"
"11001","2004",-1.48287,-0.7691005,-4.559627,-3.7941735,1.14800475,1.724779,"Bogotá, D.C.","Bogotá"
"11001","2005",-1.50793,-0.7982925,-4.81086025,-3.92912425,1.17993725,1.803115,"Bogotá, D.C.","Bogotá"
"11001","2006",-1.619675,-0.82444,-5.0794975,-4.14926825,1.08345349999999,1.77352325,"Bogotá, D.C.","Bogotá"
"11001","2007",-1.639955,-0.829531,-5.058501,-4.144353,1.216934,1.796942,"Bogotá, D.C.","Bogotá"
"11001","2008",-1.663465,-0.812563,-5.395734,-4.2335055,1.32426475,1.863943,"Bogotá, D.C.","Bogotá"
"11001","2009",-1.69783,-0.796862,-5.55515375,-4.38313825,1.467399,2.01000625,"Bogotá, D.C.","Bogotá"
"11001","2010",-1.71333,-0.8106755,-5.89030675,-4.52211675,1.38882025,1.927393,"Bogotá, D.C.","Bogotá"
"11001","2011",-1.765295,-0.756277,-6.25599775,-4.58820825,1.486585,1.9436675,"Bogotá, D.C.","Bogotá"
"11001","2012",-1.72919,-0.8329595,-6.2601245,-4.82653475,1.6854765,1.84753075,"Bogotá, D.C.","Bogotá"
"13001","1993",0.7730285,1.82729,-0.166090125,0.613077775,1.9265945,3.29602625,"Cartagena","Dique bolivarense"
"13001","1994",1.788195,2.496445,0.682354375,1.4846895,3.018078,3.93857125,"Cartagena","Dique bolivarense"
"13001","1995",2.981185,3.289635,1.9086365,2.41572175,4.097926,4.74002025,"Cartagena","Dique bolivarense"
"13001","1996",2.97382,3.61799,1.90384575,2.78479375,4.17590325,5.13108375,"Cartagena","Dique bolivarense"
"13001","1997",2.950135,3.55067,1.9341545,2.576554,4.24230825,5.19003999999999,"Cartagena","Dique bolivarense"
"13001","1998",3.46538,3.671655,2.4128565,2.737743,4.635706,5.23457225,"Cartagena","Dique bolivarense"
"13001","1999",3.720815,3.49886,2.600898,2.5278025,4.87711675,5.0755795,"Cartagena","Dique bolivarense"
"13001","2000",4.31556,3.5736,3.1098435,2.66084275,5.416084,5.1219585,"Cartagena","Dique bolivarense"
"13001","2001",3.995695,3.47434,2.80035075,2.4450935,5.111655,5.118019,"Cartagena","Dique bolivarense"
"13001","2002",3.484215,3.515395,2.438678,2.469461,4.7297535,5.20379325,"Cartagena","Dique bolivarense"
"13001","2003",3.73806,3.82525,2.61220125,2.8444065,4.90994225,5.447715,"Cartagena","Dique bolivarense"
"13001","2004",4.477115,4.19232,3.2151245,3.26028325,5.5924425,5.8787465,"Cartagena","Dique bolivarense"
"13001","2005",4.104525,4.1274,2.959843,3.14902425,5.3151275,5.7837905,"Cartagena","Dique bolivarense"
"13001","2006",4.23367,3.8575,3.07430475,2.778983,5.4183345,5.5163155,"Cartagena","Dique bolivarense"
"13001","2007",4.44931,3.750285,3.21204775,2.768295,5.60651925,5.3599745,"Cartagena","Dique bolivarense"
"13001","2008",3.86732,3.763665,2.76941675,2.8190225,4.949407,5.35649875,"Cartagena","Dique bolivarense"
"13001","2009",3.10322,3.81263,2.0620865,2.83175675,4.29369575,5.425482,"Cartagena","Dique bolivarense"
"13001","2010",3.12456,3.70087,2.073972,2.7046525,4.29480475,5.39961075,"Cartagena","Dique bolivarense"
"13001","2011",3.845915,3.633105,2.74045675,2.579179,5.00464625,5.33036475,"Cartagena","Dique bolivarense"
"13001","2012",3.97597,3.83723,2.8219445,2.852862,5.25693225,5.520628,"Cartagena","Dique bolivarense"
"13006","1993",-0.202074,-0.3641935,-1.42144625,-2.17075025,0.836113949999999,1.18939375,"Achí","Mojana"
"13006","1994",-0.4241155,-0.5271865,-2.22491025,-2.58697775,1.22835,1.22535325,"Achí","Mojana"
"13006","1995",-0.645126,-0.61693,-2.8349255,-2.85616375,1.19848775,1.29249225,"Achí","Mojana"
"13006","1996",-0.815668,-0.675658,-3.580254,-3.15563425,1.27700425,1.21995575,"Achí","Mojana"
"13006","1997",-0.9524985,-0.7716895,-3.9321475,-3.35625025,1.31302125,1.2369685,"Achí","Mojana"
"13006","1998",-1.069215,-0.782552,-4.563742,-3.4898835,1.3305145,1.3149895,"Achí","Mojana"
